AdmArea,District,Address,Long,Lat
Южный административный округ,район Чертаново Южное,"Чертановская улица, дом 66, корпус 4",37.58,55.60
Северо-Восточный административный округ,район Свиблово,"улица Седова, дом 2, корпус 1",37.64,55.85
Северо-Восточный административный округ,район Северное Медведково,"улица Грекова, дом 4",37.66,55.89
Северо-Восточный административный округ,район Северное Медведково,"Осташковская улица, дом 26",37.68,55.89
Северо-Восточный административный округ,район Северное Медведково,"улица Тихомирова, дом 7",37.65,55.89
Восточный административный округ,район Соколиная Гора,"8-я улица Соколиной Горы, дом 20, корпус 1",37.74,55.77
Восточный административный округ,район Соколиная Гора,"Измайловское шоссе, дом 55",37.74,55.78
Восточный административный округ,район Соколиная Гора,"улица Уткина, дом 41Б",37.74,55.76
Северо-Западный административный округ,район Южное Тушино,"бульвар Яна Райниса, дом 43, корпус 2",37.41,55.85
Северо-Западный административный округ,район Митино,"улица Барышиха, дом 33, корпус 1",37.34,55.85
Центральный административный округ,Таганский район,"Нижегородская улица, дом 6",37.68,55.74
Восточный административный округ,район Новогиреево,"Зелёный проспект, дом 48, корпус 3",37.81,55.75
Южный административный округ,район Чертаново Северное,"Сумская улица, дом 8, корпус 1",37.60,55.62
Северо-Западный административный округ,район Митино,"Пятницкое шоссе, дом 12, корпус 3",37.39,55.84
Восточный административный округ,район Новогиреево,"Мартеновская улица, дом 32/15",37.80,55.75
Южный административный округ,Нагорный район,"Черноморский бульвар, дом 4, корпус 2",37.62,55.65
Юго-Восточный административный округ,район Лефортово,"Авиамоторная улица, дом 21",37.72,55.76
Юго-Восточный административный округ,Рязанский район,"Рязанский проспект, дом 73",37.79,55.72
Центральный административный округ,Пресненский район,"Мантулинская улица, дом 5, строение 2",37.55,55.75
Юго-Западный административный округ,Обручевский район,"Воронцовский парк, дом 3",37.53,55.67
Восточный административный округ,район Перово,"улица Лазо, дом 7, строение 2",37.78,55.74
Восточный административный округ,район Перово,"3-я Владимирская улица, дом 9, корпус 4",37.79,55.76
Восточный административный округ,район Перово,"улица Металлургов, дом 30",37.79,55.76
Восточный административный округ,район Перово,"улица Аносова, дом 5",37.76,55.74
Восточный административный округ,район Перово,"Новогиреевская улица, дом 31/45",37.80,55.75
Восточный административный округ,район Перово,"Новогиреевская улица, дом 4, корпус 2",37.79,55.76
Южный административный округ,район Царицыно,"Севанская улица, дом 11",37.66,55.62
Южный административный округ,район Царицыно,"улица Бехтерева, дом 31, корпус 4",37.65,55.62
Центральный административный округ,Тверской район,"улица Фадеева, дом 10",37.60,55.78
Центральный административный округ,Пресненский район,"Тишинская площадь, дом 6",37.58,55.77
Центральный административный округ,Таганский район,"Стройковская улица, дом 2",37.68,55.74
Центральный административный округ,район Замоскворечье,"Озерковская набережная, дом 48-50, строение 2",37.64,55.74
Северо-Восточный административный округ,Алексеевский район,"проспект Мира, владение 180А",37.65,55.82
Северный административный округ,район Ховрино,"улица Дыбенко, дом 6, корпус 1",37.49,55.87
Северный административный округ,Войковский район,"Нарвская улица, дом 11, корпус 4",37.50,55.83
Восточный административный округ,район Вешняки,"Кетчерская улица, дом 8, корпус 3",37.83,55.74
Восточный административный округ,район Вешняки,"Вешняковская улица, дом 5, корпус 5",37.82,55.74
Восточный административный округ,район Вешняки,"Реутовская улица, дом 4",37.83,55.74
Северный административный округ,район Беговой,"улица Правды, дом 5",37.58,55.78
Восточный административный округ,район Вешняки,"Реутовская улица, дом 24",37.83,55.73
Юго-Восточный административный округ,район Кузьминки,"Волгоградский проспект, дом 143, корпус 2",37.78,55.71
Юго-Западный административный округ,район Северное Бутово,"Старокачаловская улица, дом 22",37.59,55.57
Центральный административный округ,Пресненский район,"2-я Черногрязская улица, дом 10",37.55,55.76
Центральный административный округ,Пресненский район,"Скатертный переулок, дом 11",37.59,55.76
Центральный административный округ,Таганский район,"Верхняя Сыромятническая улица, дом 2",37.66,55.75
Северный административный округ,Войковский район,"Ленинградское шоссе, дом 36, корпус 1",37.49,55.83
Центральный административный округ,Тверской район,"Порядковый переулок, дом 8",37.59,55.79
Северо-Восточный административный округ,Алексеевский район,"1-й Рижский переулок, дом 2, корпус 1",37.65,55.81
Северо-Западный административный округ,район Северное Тушино,"улица Свободы, дом 61, корпус 2",37.45,55.85
Юго-Западный административный округ,район Южное Бутово,"Чечёрский проезд, дом 46",37.53,55.53
Юго-Западный административный округ,район Южное Бутово,"Чечёрский проезд, дом 82",37.52,55.53
Юго-Западный административный округ,район Южное Бутово,"Чечёрский проезд, дом 110",37.52,55.53
Западный административный округ,район Солнцево,"Солнцевский проспект, дом 30",37.41,55.65
Восточный административный округ,район Сокольники,"улица Сокольнический Вал, дом 1, строение 1",37.68,55.79
Южный административный округ,район Чертаново Южное,"Варшавское шоссе, дом 160, корпус 1",37.59,55.58
Южный административный округ,район Москворечье-Сабурово,"улица Борисовские Пруды, дом 1, строение 43",37.70,55.64
Восточный административный округ,район Новогиреево,"Союзный проспект, дом 6, корпус 3",37.81,55.75
Восточный административный округ,район Вешняки,"Вешняковская улица, дом 16",37.83,55.73
Юго-Западный административный округ,район Северное Бутово,"Старобитцевская улица, дом 15, корпус 1",37.59,55.58
Северо-Западный административный округ,район Митино,"Пятницкое шоссе, дом 36, корпус 2",37.36,55.86
Южный административный округ,район Орехово-Борисово Южное,"Шипиловский проезд, дом 63, корпус 1",37.71,55.60
Южный административный округ,район Чертаново Южное,"Россошанская улица, дом 6",37.61,55.59
Восточный административный округ,район Новогиреево,"Новогиреевская улица, дом 44/28",37.80,55.75
Северо-Восточный административный округ,Алтуфьевский район,"Путевой проезд, дом 26, корпус 2",37.57,55.88
Юго-Восточный административный округ,район Выхино-Жулебино,"Привольная улица, дом 73, корпус 2",37.86,55.68
Восточный административный округ,район Ивановское,"Саянская улица, дом 5, корпус 1",37.83,55.77
Юго-Западный административный округ,район Тёплый Стан,"Ленинский проспект, дом 135, корпус 1",37.48,55.64
Северо-Восточный административный округ,Бабушкинский район,"улица Чичерина, дом 10, корпус 1",37.65,55.87
Центральный административный округ,район Замоскворечье,"Садовническая улица, дом 84, строение 3",37.64,55.73
Северо-Восточный административный округ,Останкинский район,"Аргуновская улица, дом 16, корпус 2",37.62,55.82
Северо-Восточный административный округ,Останкинский район,"улица Годовикова, дом 1, корпус 2",37.63,55.80
Северо-Восточный административный округ,Останкинский район,"проспект Мира, дом 81, строение 3",37.63,55.80
Юго-Западный административный округ,Гагаринский район,"Ленинский проспект, дом 72/2",37.54,55.69
Северо-Восточный административный округ,Алтуфьевский район,"Бибиревская улица, дом 1",37.59,55.88
Центральный административный округ,Таганский район,"Краснохолмская набережная, дом 1/15",37.65,55.74
Северо-Восточный административный округ,Алексеевский район,"улица Кибальчича, дом 2, корпус 3",37.64,55.82
Северо-Восточный административный округ,Алексеевский район,"улица Космонавтов, дом 12",37.65,55.82
Северо-Восточный административный округ,Алексеевский район,"проспект Мира, дом 184, корпус 1",37.65,55.83
Восточный административный округ,район Восточный,"улица 9 Мая, дом 24А",37.87,55.82
Восточный административный округ,район Вешняки,"улица Красный Казанец, дом 19, корпус 2",37.82,55.72
Восточный административный округ,район Вешняки,"Косинская улица, дом 18, корпус 2",37.83,55.72
Северо-Восточный административный округ,район Южное Медведково,"проезд Шокальского, дом 6А",37.65,55.87
Юго-Западный административный округ,район Южное Бутово,"улица Горчакова, дом 9",37.53,55.54
Западный административный округ,район Фили-Давыдково,"Кременчугская улица, дом 36",37.46,55.71
Юго-Западный административный округ,Ломоносовский район,"Ленинский проспект, дом 82/2",37.53,55.68
Юго-Западный административный округ,район Южное Бутово,"улица Адмирала Лазарева, дом 35, корпус 1",37.53,55.54
Западный административный округ,район Проспект Вернадского,"улица Удальцова, дом 22",37.50,55.69
Северо-Западный административный округ,район Северное Тушино,"улица Вилиса Лациса, домовладение 26, строение 1",37.41,55.86
Юго-Западный административный округ,район Южное Бутово,"Типографская улица, дом 2",37.59,55.51
Юго-Западный административный округ,район Южное Бутово,"улица Академика Понтрягина, дом 21, корпус 1",37.50,55.53
Юго-Западный административный округ,район Южное Бутово,"улица Академика Семёнова, дом 15",37.51,55.54
Северо-Западный административный округ,район Северное Тушино,"улица Вилиса Лациса, дом 11, корпус 3",37.43,55.86
Северный административный округ,район Беговой,"Беговая улица, дом 13",37.56,55.78
Юго-Восточный административный округ,район Лефортово,"Мининский переулок, дом 4/6",37.71,55.77
Восточный административный округ,район Измайлово,"улица Проходчиков, дом 1",37.71,55.87
Юго-Восточный административный округ,район Лефортово,"Авиамоторная улица, дом 49/1",37.72,55.75
Северный административный округ,район Левобережный,"Ленинградское шоссе, дом 51, строение 2",37.47,55.85
Зеленоградский административный округ,район Савёлки,"Озёрная аллея, дом 2А",37.23,55.99
Центральный административный округ,район Якиманка,"улица Крымский Вал, дом 9, строение 1",37.60,55.73
Восточный административный округ,район Северное Измайлово,"Щёлковское шоссе, дом 2А",37.76,55.80
Восточный административный округ,район Гольяново,"Уссурийская улица, дом 16",37.82,55.82
Южный административный округ,район Москворечье-Сабурово,"Кантемировская улица, дом 4, корпус 1",37.68,55.64
Юго-Восточный административный округ,район Лефортово,"шоссе Энтузиастов, дом 13",37.71,55.75
Восточный административный округ,район Ивановское,"улица Молостовых, дом 16, корпус 2",37.83,55.75
Южный административный округ,район Царицыно,"улица Медиков, дом 3",37.67,55.63
Южный административный округ,район Царицыно,"улица Медиков, дом 22, корпус 1",37.68,55.63
Юго-Западный административный округ,район Зюзино,"Херсонская улица, дом 9, корпус 2",37.57,55.65
Северо-Восточный административный округ,Алексеевский район,"улица Константинова, дом 5",37.65,55.81
Восточный административный округ,район Вешняки,"улица Красный Казанец, дом 3, корпус 4",37.81,55.72
Северо-Восточный административный округ,Алексеевский район,"проспект Мира, дом 110/2",37.64,55.81
Северо-Восточный административный округ,Алексеевский район,"улица Павла Корчагина, дом 8",37.66,55.81
Северный административный округ,Войковский район,"4-й Войковский проезд, дом 10",37.49,55.82
Восточный административный округ,район Вешняки,"улица Молдагуловой, дом 12, корпус 2",37.81,55.72
Юго-Восточный административный округ,район Марьино,"Донецкая улица, дом 18, корпус 3",37.71,55.65
Северный административный округ,район Западное Дегунино,"Ангарская улица, дом 28, корпус 2",37.52,55.88
Северный административный округ,Войковский район,"Ленинградское шоссе, дом 13, корпус 1",37.50,55.82
Центральный административный округ,Красносельский район,"Русаковская улица, дом 2/1, строение 1",37.67,55.78
Южный административный округ,район Нагатинский Затон,"Судостроительная улица, дом 31, корпус 1",37.68,55.68
Северный административный округ,район Западное Дегунино,"Талдомская улица, дом 2",37.52,55.87
Северный административный округ,район Левобережный,"Фестивальная улица, дом 4, корпус 2",37.49,55.86
Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 14, корпус 1",37.69,55.62
Юго-Восточный административный округ,Нижегородский район,"Перовское шоссе, дом 25, строение 2",37.76,55.74
Южный административный округ,район Зябликово,"Ореховый проезд, дом 41, корпус 1",37.73,55.62
Южный административный округ,район Братеево,"Проектируемый проезд № 5396, владение 15",37.76,55.63
Северо-Восточный административный округ,Останкинский район,"Прудовой проезд, дом 10",37.62,55.82
Северо-Восточный административный округ,район Отрадное,"проезд Якушкина, дом 6",37.61,55.86
Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 2034",37.17,55.97
Троицкий административный округ,поселение Троицк,"город Троицк, Парковый переулок, дом 1",37.30,55.49
Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 28, корпус 1",37.62,55.74
Центральный административный округ,район Якиманка,"Житная улица, дом 10",37.62,55.73
Центральный административный округ,Таганский район,"Нижегородская улица, дом 25",37.69,55.74
Центральный административный округ,Таганский район,"Волгоградский проспект, дом 1, строение 1",37.67,55.73
Центральный административный округ,Басманный район,"улица Покровка, дом 41, строение 3",37.65,55.76
Центральный административный округ,Басманный район,"Старокирочный переулок, дом 14",37.68,55.77
Центральный административный округ,Басманный район,"Семёновская набережная, дом 3/1, корпус 4",37.71,55.78
Центральный административный округ,Басманный район,"Бауманская улица, дом 22",37.68,55.77
Центральный административный округ,район Хамовники,"Комсомольский проспект, дом 40",37.57,55.72
Центральный административный округ,Басманный район,"4-й Сыромятнический переулок, дом 3/5, строение 3",37.67,55.76
Центральный административный округ,район Хамовники,"Малый Власьевский переулок, дом 6, строение 1",37.59,55.75
Центральный административный округ,район Хамовники,"Комсомольский проспект, дом 48",37.57,55.72
Центральный административный округ,район Хамовники,"Комсомольский проспект, дом 35",37.58,55.72
Северо-Восточный административный округ,Алексеевский район,"Новоалексеевская улица, дом 17",37.65,55.81
Центральный административный округ,район Хамовники,"Гагаринский переулок, дом 15А",37.60,55.74
Центральный административный округ,район Хамовники,"улица Остоженка, дом 30, строение 2",37.60,55.74
Северо-Восточный административный округ,район Отрадное,"улица Бестужевых, дом 9Б",37.60,55.87
Северо-Восточный административный округ,Останкинский район,"проспект Мира, дом 119, строение 6",37.61,55.83
Восточный административный округ,район Измайлово,"аллея Большого Круга, дом 7",37.75,55.78
Центральный административный округ,Басманный район,"Старая Басманная улица, дом 15, строение 2",37.66,55.77
Северный административный округ,Хорошёвский район,"улица Куусинена, дом 15, корпус 3",37.52,55.79
Западный административный округ,район Солнцево,"Боровский проезд, дом 24",37.38,55.65
Северный административный округ,район Левобережный,"Флотская улица, дом 1, строение 2",37.48,55.85
Северо-Западный административный округ,район Митино,"Пенягинская улица, дом 14",37.38,55.83
Юго-Западный административный округ,район Тёплый Стан,"улица Островитянова, дом 10, строение 3",37.50,55.64
Юго-Западный административный округ,район Северное Бутово,"Новоясеневский тупик, дом 1, строение 2",37.58,55.58
Северо-Западный административный округ,район Щукино,"улица Расплетина, дом 12, корпус 2",37.48,55.79
Северо-Западный административный округ,район Щукино,"улица Расплетина, дом 15",37.48,55.80
Северо-Западный административный округ,район Щукино,"улица Расплетина, дом 1А",37.48,55.79
Северо-Западный административный округ,район Северное Тушино,"бульвар Яна Райниса, дом 26, корпус 2",37.41,55.85
Северный административный округ,район Восточное Дегунино,"Дубнинская улица, дом 24, корпус 1",37.56,55.87
Южный административный округ,район Чертаново Северное,"Сумской проезд, дом 25, корпус 2",37.59,55.63
Южный административный округ,Донской район,"улица Стасовой, дом 3/27",37.60,55.71
Северный административный округ,район Восточное Дегунино,"Дубнинская улица, дом 22, корпус 1",37.56,55.87
Юго-Восточный административный округ,Рязанский район,"улица Васильцовский Стан, дом 10, корпус 1",37.75,55.72
Западный административный округ,район Солнцево,"Родниковая улица, дом 16",37.38,55.64
Южный административный округ,район Чертаново Северное,"Кировоградская улица, дом 5",37.61,55.63
Северо-Восточный административный округ,район Отрадное,"Северный бульвар, дом 6",37.61,55.87
Северный административный округ,район Коптево,"улица Зои и Александра Космодемьянских, дом 36А",37.53,55.82
Юго-Восточный административный округ,район Текстильщики,"улица Малышева, дом 2",37.74,55.70
Северо-Восточный административный округ,район Отрадное,"улица Декабристов, дом 29А",37.61,55.86
Южный административный округ,район Царицыно,"Пролетарский проспект, дом 28",37.66,55.63
Северный административный округ,Хорошёвский район,"улица Полины Осипенко, дом 22, строение 4",37.53,55.78
Восточный административный округ,район Гольяново,"Алтайская улица, дом 25",37.83,55.82
Юго-Восточный административный округ,Нижегородский район,"Рязанский проспект, дом 31",37.75,55.73
Юго-Восточный административный округ,район Марьино,"Новомарьинская улица, дом 12/12, корпус 1",37.76,55.65
Южный административный округ,район Чертаново Центральное,"улица Красного Маяка, дом 3",37.59,55.61
Юго-Восточный административный округ,район Выхино-Жулебино,"Ташкентская улица, дом 4, корпус 2",37.82,55.71
Восточный административный округ,район Гольяново,"Сахалинская улица, дом 7, корпус 1",37.81,55.83
Юго-Восточный административный округ,район Марьино,"Батайский проезд, дом 49",37.74,55.64
Западный административный округ,район Ново-Переделкино,"Новопеределкинская улица, дом 12, корпус 1",37.37,55.64
Юго-Западный административный округ,Гагаринский район,"Молодёжная улица, дом 5",37.54,55.69
Северо-Западный административный округ,район Куркино,"Куркинское шоссе, дом 17, корпус 5",37.40,55.88
Юго-Восточный административный округ,район Марьино,"улица Верхние Поля, дом 8",37.75,55.66
Северо-Западный административный округ,район Куркино,"Соколово-Мещерская улица, дом 36",37.39,55.91
Северо-Западный административный округ,район Куркино,"Соколово-Мещерская улица, дом 4",37.39,55.89
Северо-Западный административный округ,район Куркино,"улица Соловьиная Роща, дом 3",37.40,55.89
Юго-Западный административный округ,Гагаринский район,"Молодёжная улица, дом 3",37.55,55.69
Юго-Западный административный округ,Гагаринский район,"Ленинский проспект, дом 43",37.58,55.70
Юго-Западный административный округ,Гагаринский район,"Ленинский проспект, дом 52",37.56,55.70
Северный административный округ,район Левобережный,"Беломорская улица, дом 10, корпус 3",37.47,55.86
Северный административный округ,район Левобережный,"Беломорская улица, дом 10, корпус 3",37.47,55.86
Северный административный округ,район Западное Дегунино,"Дегунинская улица, дом 13, корпус 2",37.53,55.86
Северный административный округ,район Ховрино,"Зеленоградская улица, дом 17, корпус 1",37.50,55.87
Северный административный округ,Дмитровский район,"Клязьминская улица, дом 34",37.53,55.90
Северный административный округ,район Коптево,"Коптевская улица, дом 89, корпус 10",37.52,55.84
Северный административный округ,район Западное Дегунино,"улица Маршала Федоренко, дом 14, корпус 4",37.49,55.88
Северный административный округ,район Сокол,"Новопесчаная улица, дом 17, корпус 3",37.52,55.80
Северный административный округ,Головинский район,"Смольная улица, дом 19, корпус 5",37.50,55.85
Северный административный округ,Головинский район,"Фестивальная улица, дом 46, корпус 2",37.51,55.86
Северный административный округ,Головинский район,"Флотская улица, дом 44",37.50,55.85
Северный административный округ,Дмитровский район,"Яхромская улица, дом 1А",37.54,55.88
Юго-Восточный административный округ,район Марьино,"Луговой проезд, дом 7",37.75,55.65
Северный административный округ,Хорошёвский район,"Ленинградский проспект, дом 45, корпус 3",37.53,55.80
Юго-Восточный административный округ,район Марьино,"Перервинский бульвар, дом 25",37.77,55.66
Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 179/1",37.75,55.64
Юго-Восточный административный округ,район Печатники,"улица Гурьянова, дом 2, корпус 4",37.72,55.69
Юго-Восточный административный округ,район Печатники,"Шоссейная улица, дом 2, корпус 1",37.73,55.69
Юго-Восточный административный округ,район Печатники,"улица Полбина, дом 56",37.72,55.68
Северный административный округ,район Аэропорт,"улица Усиевича, дом 2",37.53,55.80
Северный административный округ,район Аэропорт,"Ленинградский проспект, дом 74, корпус 6",37.52,55.81
Восточный административный округ,район Перово,"улица Плеханова, дом 18, корпус 1",37.76,55.74
Южный административный округ,район Орехово-Борисово Южное,"Елецкая улица, дом 35, корпус 2",37.74,55.60
Юго-Западный административный округ,район Северное Бутово,"Старокачаловская улица, дом 3, корпус 2",37.58,55.57
Юго-Восточный административный округ,район Люблино,"Совхозная улица, дом 18, корпус 2",37.77,55.68
Юго-Западный административный округ,район Тёплый Стан,"Ленинский проспект, дом 123, корпус 1",37.48,55.65
Юго-Западный административный округ,район Тёплый Стан,"улица Генерала Тюленева, дом 31",37.49,55.62
Зеленоградский административный округ,район Матушкино,"Берёзовая аллея, дом 9",37.20,56.00
Юго-Западный административный округ,район Тёплый Стан,"Профсоюзная улица, дом 146, корпус 1",37.51,55.62
Юго-Западный административный округ,район Тёплый Стан,"Профсоюзная улица, дом 136, корпус 2",37.51,55.63
Юго-Западный административный округ,район Тёплый Стан,"улица Тёплый Стан, дом 21, корпус 2",37.48,55.63
Юго-Западный административный округ,район Тёплый Стан,"улица Тёплый Стан, дом 15, корпус 6",37.49,55.62
Юго-Восточный административный округ,район Некрасовка,"1-я Вольская улица, дом 1, корпус 3",37.92,55.68
Восточный административный округ,район Перово,"Зелёный проспект, дом 11А",37.78,55.75
Юго-Восточный административный округ,район Некрасовка,"2-я Вольская улица, дом 3",37.92,55.69
Восточный административный округ,район Перово,"1-я Владимирская улица, дом 47",37.78,55.75
Южный административный округ,район Москворечье-Сабурово,"Каширское шоссе, дом 53, корпус 3",37.69,55.64
Восточный административный округ,район Перово,"2-я Владимирская улица, дом 5",37.78,55.76
Юго-Восточный административный округ,Нижегородский район,"Нижегородская улица, дом 106, корпус 1",37.72,55.73
Зеленоградский административный округ,район Силино,"город Зеленоград, корпус 1131, строение 1",37.17,55.99
Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 1466",37.16,55.99
Северо-Восточный административный округ,Останкинский район,"2-я Останкинская улица, дом 8",37.63,55.82
Троицкий административный округ,поселение Краснопахорское,"село Былово, дом 1",37.26,55.44
Восточный административный округ,район Новогиреево,"Свободный проспект, дом 26",37.82,55.75
Восточный административный округ,район Новогиреево,"Свободный проспект, дом 37/18",37.82,55.75
Восточный административный округ,район Новогиреево,"Свободный проспект, дом 30",37.81,55.75
Южный административный округ,Даниловский район,"1-й Павловский переулок, дом 5",37.63,55.72
Южный административный округ,Даниловский район,"3-й Павелецкий проезд, дом 9А",37.64,55.71
Южный административный округ,Даниловский район,"Восточная улица, дом 1, корпус 1",37.66,55.72
Южный административный округ,Даниловский район,"Восточная улица, дом 2, корпус 2",37.66,55.72
Северо-Восточный административный округ,район Лианозово,"Угличская улица, владение 13, строение 8",37.57,55.90
Северо-Восточный административный округ,Алексеевский район,"проспект Мира, дом 112",37.64,55.81
Юго-Западный административный округ,Академический район,"Профсоюзная улица, дом 8, корпус 2",37.57,55.69
Восточный административный округ,район Вешняки,"Вешняковская улица, дом 27, корпус 2",37.83,55.72
Северо-Западный административный округ,район Северное Тушино,"бульвар Яна Райниса, дом 22, корпус 2",37.42,55.85
Северо-Западный административный округ,район Северное Тушино,"бульвар Яна Райниса, дом 14, корпус 1",37.42,55.85
Северо-Западный административный округ,район Северное Тушино,"Планерная улица, дом 12, корпус 1",37.44,55.86
Северо-Западный административный округ,район Северное Тушино,"Планерная улица, дом 16, корпус 5",37.44,55.86
Северо-Западный административный округ,район Северное Тушино,"Планерная улица, дом 7, корпус 1",37.43,55.86
Северо-Западный административный округ,район Северное Тушино,"Планерная улица, дом 5, корпус 3",37.43,55.86
Юго-Западный административный округ,район Южное Бутово,"Бартеневская улица, дом 41",37.52,55.55
Юго-Западный административный округ,район Южное Бутово,"2-я Мелитопольская улица, дом 21, корпус 1",37.58,55.54
Юго-Западный административный округ,район Южное Бутово,"Изюмская улица, дом 22",37.56,55.55
Восточный административный округ,район Перово,"Федеративный проспект, дом 9, корпус 1",37.80,55.76
Восточный административный округ,район Перово,"Зелёный проспект, дом 6, корпус 1",37.77,55.75
Юго-Западный административный округ,район Южное Бутово,"Изюмская улица, дом 30",37.57,55.55
Юго-Западный административный округ,район Южное Бутово,"Скобелевская улица, дом 20",37.55,55.55
Юго-Западный административный округ,район Южное Бутово,"Скобелевская улица, дом 8",37.55,55.55
Юго-Западный административный округ,район Южное Бутово,"Старонародная улица, дом 4",37.58,55.54
Северо-Западный административный округ,район Северное Тушино,"улица Свободы, дом 56",37.45,55.86
Восточный административный округ,район Измайлово,"аллея Большого Круга, дом 7",37.75,55.78
Западный административный округ,Можайский район,"Можайское шоссе, дом 37",37.42,55.72
Западный административный округ,район Солнцево,"Производственная улица, дом 4, корпус 2",37.39,55.65
Центральный административный округ,Басманный район,"Чистопрудный бульвар, дом 12, строение 1",37.64,55.76
Южный административный округ,Нагорный район,"Варшавское шоссе, дом 50",37.62,55.67
Южный административный округ,район Бирюлёво Западное,"Харьковский проезд, дом 9, корпус 2",37.64,55.59
Южный административный округ,район Орехово-Борисово Южное,"Каширское шоссе, дом 148, корпус 1",37.72,55.60
Зеленоградский административный округ,район Силино,"город Зеленоград, корпус 1202",37.19,55.99
Южный административный округ,район Чертаново Северное,"микрорайон Северное Чертаново, дом 7, корпус А",37.59,55.63
Южный административный округ,район Нагатино-Садовники,"улица Академика Миллионщикова, дом 18",37.64,55.67
